Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8305675,2019-12-02 09:40:02,2018-12-13 08:01:21,20722487,6258191074,20722487,302,2439,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/305/SRR8305675.sralite.1,SRX5120178,pilot_whale_CE,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP173144,PRJNA506903,,506903,SRS4133890,SAMN10476775,simple,9731,Globicephala melas,pilot_whale_CE,,,,,male,,no,,,,,UNIVERSITY OF HAMBURG,SRA822013,,public,DCF87F4C006ECA0D90A37A6D93CE5B8E,FB6FFC14F6AA42779AD553D91F5ED643
SRR8305674,2019-12-02 09:40:02,2018-12-13 08:06:16,24732769,7469296238,24732769,302,2911,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/305/SRR8305674.sralite.1,SRX5120179,pilot_whale_VC,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP173144,PRJNA506903,,506903,SRS4133891,SAMN10476774,simple,9731,Globicephala melas,pilot_whale_VC,,,,,male,,no,,,,,UNIVERSITY OF HAMBURG,SRA822013,,public,1A110EE18EE50D416F14CBCF72D0F63B,D7111071002B123AE9477334BD6B269C
SRR17090399,2022-03-01 00:05:08,2021-12-02 09:04:30,29320009,8854642718,29320009,302,3729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17090/SRR17090399/SRR17090399.lite.1,SRX13278360,Gme2CE,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348856,PRJNA785431,,785431,SRS11195444,SAMN23563152,simple,9731,Globicephala melas,pilot_whale#2CE,,,,,female,,no,,,,,UNIVERSITY OF HAMBURG,SRA1337294,,public,04A402159C5ADD60C74B7A03DD1340F6,3323E04F77A84FA66E6235164848D136
SRR17090398,2022-03-01 00:05:08,2021-12-02 09:04:30,30544689,9224496078,30544689,302,3888,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17090/SRR17090398/SRR17090398.lite.1,SRX13278361,Gme2VC,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348856,PRJNA785431,,785431,SRS11195445,SAMN23563153,simple,9731,Globicephala melas,pilot_whale#2VC,,,,,female,,no,,,,,UNIVERSITY OF HAMBURG,SRA1337294,,public,9966598802620D07E9F6A5A0FD1C1C8E,EDE6167F1270BCBA1CAC35FFE1D82496
SRR17090397,2022-03-01 00:05:08,2021-12-02 09:13:23,43628466,13175796732,43628466,302,5720,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17090/SRR17090397/SRR17090397.lite.1,SRX13278362,Gme3CE,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348856,PRJNA785431,,785431,SRS11195446,SAMN23563154,simple,9731,Globicephala melas,pilot_whale#3CE,,,,,female,,no,,,,,UNIVERSITY OF HAMBURG,SRA1337294,,public,26CB80FB20CDBC80C8F6F6EF0C41E5A4,D2C004025AC4C2B1B5462B77981FA4DB
SRR17090396,2022-03-01 00:05:08,2021-12-02 09:04:45,28703631,8668496562,28703631,302,3642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17090/SRR17090396/SRR17090396.lite.1,SRX13278363,Gme3VC,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348856,PRJNA785431,,785431,SRS11195447,SAMN23563155,simple,9731,Globicephala melas,pilot_whale#3VC,,,,,female,,no,,,,,UNIVERSITY OF HAMBURG,SRA1337294,,public,43A4DB95C25B091CE364FFFC9E317FF1,396B60819F28BAF86CC9E775F89083BC
ERR11837529,2023-08-28 17:10:22,2023-08-29 09:36:32,16820116,5079675032,16820116,302,1215,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/ERR011/11837/ERR11837529/ERR11837529.lite.1,ERX11235682,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina NovaSeq 6000,ERP150129,PRJEB64970,,1007060,ERS13477526,SAMEA111380546,simple,9731,Globicephala melas,SAMEA111380546,,,,,male,,no,,,,,WELLCOME SANGER INSTITUTE,ERA26753441,,public,5495D700320A6093E0D0DF9561E18B90,68F02746FD0C011C4EDAD0E3AF258F11
