Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28574798,2024-04-06 18:29:54,2024-04-06 18:22:32,105208298,21252076196,105208298,202,7419,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28574/SRR28574798/SRR28574798.lite.1,SRX24174294,mKogBre2_RNASeq_heart,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1840964,,public,13899296B946005F78C8B00E9F0829B9,F693FA4D1489E78BB35694CE264C9D75
SRR28574799,2024-04-06 18:15:01,2024-04-06 18:10:33,116203175,23473041350,116203175,202,8140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28574/SRR28574799/SRR28574799.lite.1,SRX24174293,mKogBre2_RNASeq_brain,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1840964,,public,2D98ECA083F0D62EBF64AB97EC088339,2011EEF9C7A37A919B29EE0C0199BAC2
SRR28574800,2024-04-06 18:45:53,2024-04-06 18:35:16,129317416,26122118032,129317416,202,8964,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28574/SRR28574800/SRR28574800.lite.1,SRX24174292,mKogBre2_RNASeq_muscle,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1840964,,public,C0A62D13994D64D196B04C835E1341E5,45A296A3B8A33E07A5A4D571E8B8FE08
SRR28773741,2024-04-24 08:49:58,2024-04-24 08:45:25,116203175,23473041350,116203175,202,8140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28773/SRR28773741/SRR28773741.lite.1,SRX24338781,mKogBre2_RNASeq_brain,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1850816,,public,2D98ECA083F0D62EBF64AB97EC088339,2011EEF9C7A37A919B29EE0C0199BAC2
SRR28773743,2024-04-24 08:48:01,2024-04-24 08:44:16,129317416,26122118032,129317416,202,8964,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28773/SRR28773743/SRR28773743.lite.1,SRX24338779,mKogBre2_RNASeq_muscle,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1850816,,public,C0A62D13994D64D196B04C835E1341E5,45A296A3B8A33E07A5A4D571E8B8FE08
SRR28773739,2024-04-24 08:49:58,2024-04-24 08:44:11,105208298,21252076196,105208298,202,7419,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28773/SRR28773739/SRR28773739.lite.1,SRX24338783,mKogBre2_RNASeq_heart,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500075,PRJNA1096959,3,1096959,SRS20950247,SAMN40144606,simple,27615,Kogia breviceps,"Animal sample from Kogia breviceps (pygmy sperm whale) for VGP transcriptome, mKogBre2",,,,,female,,no,,,,,G10K,SRA1850816,,public,13899296B946005F78C8B00E9F0829B9,F693FA4D1489E78BB35694CE264C9D75
