Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8270603,2019-03-23 00:42:14,2018-12-02 16:17:36,21759698,6304175580,21759698,289,2408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/270/SRR8270603/SRR8270603.sralite.1,SRX5087289,Bmusculus_Skin,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP171999,PRJNA507895,,507895,SRS4099392,SAMN10511405,simple,9771,Balaenoptera musculus,B.musculus_Skin,,,,,not collected,,no,,,,,CIIMAR - INTERDISCIPLINARY CENTRE OF MARINE AND ENVIRONMENTAL RESEARCH,SRA817953,,public,8705D34BE634BF084660AD02390162D8,D3B1C49B1B3D5C2ABB38E83F95D90E7F
SRR9594993,2019-06-25 15:11:12,2019-06-25 14:53:35,20665,54026067,0,2614,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9594/SRR9594993/SRR9594993.lite.1,SRX6360705,mBalMus1_Fibroblasts_Pacbio,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP184741,PRJNA516733,3,516733,SRS6014674,SAMN12287136,simple,9771,Balaenoptera musculus,mBalMus1 Blue whale tissue for G10K-VGP reference genome,,,,,male,,no,,,,,G10K,SRA913347,,public,B3E39783AC60B8702748CFFE79BEF356,D2D0CDB9070428379992496B8D71E0B1
SRR11045090,2020-02-09 02:47:14,2020-02-09 02:41:40,35087962,10596564524,35087962,302,3763,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/045/SRR11045090.sralite.1,SRX7696402,mBalMus1_Fibroblast(Epidermis and Blubber)_Illumina,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP184741,PRJNA516733,3,516733,SRS6014674,SAMN12287136,simple,9771,Balaenoptera musculus,mBalMus1 Blue whale tissue for G10K-VGP reference genome,,,,,male,,no,,,,,G10K,SRA1040074,,public,7266A80AA7CCEAC1085E614781A2F385,B624E01D0B6C993C29886AEBC33309D1
SRR14357023,2022-03-01 00:03:49,2021-04-30 03:40:04,199037476,50157443952,199037476,252,22769,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14357/SRR14357023/SRR14357023.lite.1,SRX10710728,BM1703_2500,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP316882,PRJNA704862,,704862,SRS8800269,SAMN18057126,simple,9771,Balaenoptera musculus,BM1703,,,,,male,,no,,,,,THE CENTRE FOR APPLIED GENOMICS,SRA1207651,,public,543A00648D746378F06DB6693B501910,C4F8A69ECC32F77BBA38F4C0E58F542A
