Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8578702,2019-05-02 13:54:24,2019-02-14 13:10:35,46336942,14796114618,46336942,319,7428,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/578/SRR8578702.sralite.1,SRX5379495,M-LymB-OGL,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP185742,PRJNA520934,3,520934,SRS4360420,SAMN10872456,simple,40151,Monodon monoceros,NGI_Narwhal_1,,,,,male,,no,,,,,"SMITHSONIAN INSTITUTION, NATIONAL MUSEUM OF NATURAL HISTORY (NMNH)",SRA849434,,public,E65FF7986AFD7B6DF012FBB27541B67B,8333044939287715B46700E4C7355784
SRR8578703,2019-05-02 13:54:24,2019-02-14 13:09:34,38789186,12190064098,38789186,314,5101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/578/SRR8578703.sralite.1,SRX5379494,M-SplB-OGL,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP185742,PRJNA520934,3,520934,SRS4360420,SAMN10872456,simple,40151,Monodon monoceros,NGI_Narwhal_1,,,,,male,,no,,,,,"SMITHSONIAN INSTITUTION, NATIONAL MUSEUM OF NATURAL HISTORY (NMNH)",SRA849434,,public,39DB4F1127621864F2D5AE635253ACEB,7716B70AB27B47B8D272B1D01CD0634C
SRR8578704,2019-05-02 13:54:24,2019-02-14 13:00:58,21483859,6878282513,21483859,320,2941,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/578/SRR8578704.sralite.1,SRX5379493,M-KidB-OGL,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP185742,PRJNA520934,3,520934,SRS4360420,SAMN10872456,simple,40151,Monodon monoceros,NGI_Narwhal_1,,,,,male,,no,,,,,"SMITHSONIAN INSTITUTION, NATIONAL MUSEUM OF NATURAL HISTORY (NMNH)",SRA849434,,public,7683CA583237121199AD2182080D8C66,2AA7DC5175B70B594A41949B0707269D
SRR8578705,2019-05-02 13:54:24,2019-02-14 13:06:39,33973318,11320429265,33973318,333,6419,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/578/SRR8578705.sralite.1,SRX5379492,M-LivB-OGL,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP185742,PRJNA520934,3,520934,SRS4360420,SAMN10872456,simple,40151,Monodon monoceros,NGI_Narwhal_1,,,,,male,,no,,,,,"SMITHSONIAN INSTITUTION, NATIONAL MUSEUM OF NATURAL HISTORY (NMNH)",SRA849434,,public,EE6396E4E53B0706D1EC43A1CDEDC604,C1E46FE5FC6F2AF0221E621A397E2503
SRR22148777,2022-11-02 18:27:53,2022-11-02 17:12:12,33895841,10168752300,33895841,300,2972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR022/22148/SRR22148777/SRR22148777.lite.1,SRX18127672,F81741,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP185742,PRJNA520934,3,520934,SRS15617297,SAMN29855413,simple,40151,Monodon monoceros,NGI_white_narwhal_skin,,,,,male,,no,,,,,NARWHAL INITIATIVE PROJECT,SRA1532630,,public,06CE9E0494DC6A54F6AC39E369AAE503,36D78F6106F58D05B89754F1028F28D0
SRR22148817,2022-11-02 21:29:32,2022-11-02 18:12:57,37050024,11115007200,37050024,300,3330,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR022/22148/SRR22148817/SRR22148817.lite.1,SRX18127712,F81743,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP185742,PRJNA520934,3,520934,SRS15629490,SAMN29855415,simple,40151,Monodon monoceros,NGI_white_narwhal_retina,,,,,male,,no,,,,,NARWHAL INITIATIVE PROJECT,SRA1532651,,public,CCAC7A73907887A8246A4CF65CC3EEFC,7BDE6E7F2F08162A20D2494E607302FE
SRR22149457,2022-11-02 21:29:40,2022-11-02 18:07:36,37864507,11359352100,37864507,300,3444,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR022/22149/SRR22149457/SRR22149457.lite.1,SRX18128352,F81742,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP185742,PRJNA520934,3,520934,SRS15630130,SAMN29855414,simple,40151,Monodon monoceros,NGI_white_narwhal_optic_nerve,,,,,male,,no,,,,,NARWHAL INITIATIVE PROJECT,SRA1532673,,public,326BFAC5B09CB047DEA1F9418CC44BC2,00F86C3696F1484CE3A563BF8E9CF85E
