Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR37355522,2026-02-24 21:19:29,2026-02-24 21:05:10,82913126,16600193280,82913126,200,4619,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355522/SRR37355522.lite.1,SRX32269263,15EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190661,SAMN55933216,simple,9773,Megaptera novaeangliae,15EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,AC04BE4FFE44E74D0B9D7A4A0974DEFC,D103B7F2F3807F6CACE8511DA1E55BF3
SRR37355521,2026-02-24 21:10:08,2026-02-24 21:02:09,82182298,16432138039,82182298,199,4557,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355521/SRR37355521.lite.1,SRX32269264,16EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190662,SAMN55933217,simple,9773,Megaptera novaeangliae,16EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,05F4B1C7A9A3EE7AA65B4A7B153DCC9E,3B84F9962BDAF3DB0C0E106A1769CE3B
SRR37355520,2026-02-24 21:13:11,2026-02-24 21:05:38,72546245,14532456465,72546245,200,4023,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355520/SRR37355520.lite.1,SRX32269265,17EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190663,SAMN55933218,simple,9773,Megaptera novaeangliae,17EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,976FC9825B7758FCE0F8038D424D9882,111EA43B8CB113F16AAF126BC8255E33
SRR37355519,2026-02-24 21:19:29,2026-02-24 21:06:24,88131796,17648098030,88131796,200,4884,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355519/SRR37355519.lite.1,SRX32269266,18EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190664,SAMN55933219,simple,9773,Megaptera novaeangliae,18EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,96ADEF5C2E862809176C7114B4E9BE9B,48E16967804B35F0C69FC6B7B3CAF96A
SRR37355518,2026-02-24 21:22:08,2026-02-24 21:11:08,102426016,20508940620,102426016,200,5652,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355518/SRR37355518.lite.1,SRX32269267,19EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190665,SAMN55933220,simple,9773,Megaptera novaeangliae,19EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,F96C7F3856ADF2F90084593DF3628A4B,14FD6BAB769DCCF7389BE76056E49725
SRR37355513,2026-02-24 20:50:12,2026-02-24 20:40:55,81179763,16239375539,81179763,200,4514,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355513/SRR37355513.lite.1,SRX32269272,1LM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190670,SAMN55933224,simple,9773,Megaptera novaeangliae,1LM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,76CBE7FDF04167DD4B732545FC933A6C,4E6A542E5D8DC8584CAE632BC13A267C
SRR37355517,2026-02-24 21:00:21,2026-02-24 20:53:27,91559694,18332864029,91559694,200,5104,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355517/SRR37355517.lite.1,SRX32269268,20EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190666,SAMN55933221,simple,9773,Megaptera novaeangliae,20EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,2F3E5070E6FE837930892BF25B8A510C,15216A22514B230826BC246624405B59
SRR37355515,2026-02-24 21:13:11,2026-02-24 21:04:40,82142386,16410444052,82142386,199,4642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355515/SRR37355515.lite.1,SRX32269270,21EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190668,SAMN55933222,simple,9773,Megaptera novaeangliae,21EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,27FF8254565ECEBF44A728D22AE1D14A,1E605D86990ABEAD3330257A29108789
SRR37355514,2026-02-24 21:19:29,2026-02-24 21:06:54,95865390,19148065240,95865390,199,5364,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355514/SRR37355514.lite.1,SRX32269271,22EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190669,SAMN55933223,simple,9773,Megaptera novaeangliae,22EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,C52E8F4581227E78F4DA6236330DAD35,17CF17653BAA3BB71414DE3E38FA8F32
SRR37355516,2026-02-24 20:59:51,2026-02-24 20:54:36,83487942,16665138602,83487942,199,4599,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355516/SRR37355516.lite.1,SRX32269269,3EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190667,SAMN55933204,simple,9773,Megaptera novaeangliae,3EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,75A108E06623CE207D11F08E771847C7,AAF12430736B8809284719DB65C10009
